ProductName,Sales,Inventory,Price,December_2018,January,February,March,April,May,June,July,August,September,October,November,December_2019,MeanValue,TransactionNo,RestockPoint,Rating,Bio
Set Of 2 Wooden Market Crates,526,785,21.47,2.2,1.909,1.882,1.917,1.579,1.857,3.467,3.0,2.133,3.625,2.286,2.682,8.667,2.861846153846154,16.308,3.0,4.6829150402758595,0
Christmas Star Wish List Chalkboard,3502,1151,10.65,0.0,1.0,0.0,0.0,0.0,0.0,7.75,12.267,9.455,16.2,13.286,10.055,16.469,6.652461538461538,34.25,7.0,4.065402530509342,0
Storage Tin Vintage Leaf,739,1013,11.53,0.0,0.0,0.0,0.0,0.0,0.0,11.071,6.043,5.625,4.167,4.154,2.417,7.364,3.1416153846153843,16.429,4.0,4.826727838934032,0
Tree T-Light Holder Willie Winkie,364,1459,10.65,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,15.0,12.0,6.769,4.5,9.75,5.539923076923078,6.286,6.0,5.0,0
Set Of 4 Knick Knack Tins Poppies,853,381,11.94,0.0,0.0,0.0,0.0,0.0,0.0,6.412,6.062,3.84,3.138,3.323,3.76,4.474,2.385307692307692,27.857,3.0,4.289314480892829,1
Bag 500g Swirly Marbles,1459,622,10.65,3.0,5.8,5.714,2.833,12.5,7.0,9.2,6.5,9.182,5.778,5.875,4.086,28.759,8.171307692307693,11.231,9.0,5.0,0
Joy Wooden Block Letters,232,511,11.53,1.688,2.667,0.0,2.0,1.0,2.0,0.0,1.5,1.0,3.444,1.786,1.778,4.789,1.8193846153846156,8.273,2.0,3.090123759603769,0
Peace Wooden Block Letters,351,991,12.25,2.286,1.5,3.0,4.4,3.0,2.0,2.0,6.5,3.571,1.647,2.176,1.684,6.524,3.0990769230769226,8.769,4.0,4.699219885365927,0
T-Light Holder Hanging Lace,840,720,10.65,13.4,12.2,5.0,3.0,4.571,10.4,8.25,13.75,5.0,2.8,5.0,11.625,18.25,8.711230769230768,6.462,9.0,3.824882859591899,0
T-Light Holder White Lace,588,322,10.55,5.0,5.8,7.667,5.5,9.667,6.0,4.0,19.4,3.5,1.0,7.25,2.667,23.75,7.784692307692307,5.231,8.0,3.5268619061730555,0
Toy Tidy Spaceboy,1317,179,11.06,2.8,4.5,7.174,5.318,7.733,3.875,3.478,3.188,4.238,4.05,3.774,3.5,9.583,4.862384615384615,22.846,5.0,5.0,0
Grow Your Own Flowers Set Of 3,296,1246,12.25,1.429,2.222,1.6,1.6,1.6,1.833,2.5,1.5,1.0,0.0,2.2,1.857,9.19,2.1946923076923075,7.083,3.0,5.0,0
Toy Tidy Dolly Girl Design,713,559,11.06,3.5,2.385,9.444,8.4,2.583,3.625,4.0,3.6,3.2,3.083,3.917,2.5,13.667,4.915692307692308,12.692,5.0,4.054531088212621,0
Set Of 3 Cake Tins Sketchbook,1022,1355,12.25,2.267,3.043,7.0,2.067,3.8,4.286,2.211,3.355,2.0,2.067,2.381,2.217,5.733,3.2636153846153846,23.077,4.0,3.266864732577636,0
Set Of 6 Herb Tins Sketchbook,1169,824,11.53,3.286,4.137,5.882,3.385,3.278,3.115,3.25,3.194,6.412,2.111,1.818,1.704,6.095,3.666692307692308,23.462,4.0,5.0,0
